Day,Store_1,Store_2,Store_3
1,55,37,62
2,49,42,48
3,56,40,65
4,65,41,40
5,48,34,72
6,48,40,66
7,66,44,63
8,58,52,72
9,45,48,80
10,55,57,72
11,45,34,38
12,45,47,45
13,52,41,53
14,31,58,60
15,33,34,66
16,44,33,51
17,40,35,62
18,53,23,51
19,41,36,53
20,36,34,43
21,65,41,49
22,48,43,44
23,51,55,48
24,36,48,73
25,45,35,49
26,51,33,92
27,38,44,66
28,54,29,62
29,44,55,50
30,47,49,68
31,44,36,53
32,69,26,61
33,50,51,91
34,39,39,59
35,58,50,74
36,38,27,52
37,52,35,60
38,30,40,81
39,37,40,52
40,52,36,82
41,57,45,68
42,52,31,53
43,49,39,68
44,47,41,72
45,35,44,67
46,43,46,41
47,45,31,51
48,61,28,57
49,53,50,59
50,32,43,67
51,53,34,62
52,46,52,44
53,43,41,65
54,56,49,67
55,60,41,67
56,59,56,73
57,42,54,70
58,47,38,66
59,53,48,59
60,60,45,40
61,45,51,65
62,48,32,62
63,39,45,63
64,38,48,45
65,58,26,47
66,64,31,73
67,49,24,60
68,60,38,68
69,54,46,60
70,44,52,60
71,54,41,71
72,65,53,54
73,50,29,61
74,66,26,54
75,24,40,55
76,58,43,56
77,51,40,63
78,47,23,54
79,51,39,75
80,30,30,49
81,48,45,58
82,54,43,55
83,65,32,77
84,45,36,62
85,42,32,72
86,45,39,42
87,59,48,63
88,53,32,71
89,45,44,61
90,55,36,73
91,51,34,54
92,60,39,77
93,43,32,88
94,47,36,56
95,46,30,55
96,35,56,77
97,53,40,79
98,53,34,54
99,50,42,55
100,48,39,57
101,36,38,44
102,46,45,49
103,47,46,48
104,42,36,51
105,48,35,60
106,54,38,63
107,69,22,79
108,52,28,48
109,53,51,72
110,49,53,57
111,31,38,59
112,50,45,68
113,51,42,47
114,75,65,65
115,48,49,62
116,53,39,66
117,50,32,63
118,38,27,89
119,61,42,52
120,58,34,54
121,58,29,53
122,41,35,53
123,64,31,52
124,36,53,74
125,56,47,77
126,72,40,53
127,40,52,50
128,44,41,66
129,51,33,53
130,45,52,68
131,34,44,62
132,51,32,42
133,39,38,79
134,55,33,82
135,41,29,53
136,65,47,55
137,42,55,63
138,47,29,64
139,58,45,68
140,38,35,84
141,52,36,58
142,63,35,50
143,34,33,43
144,52,40,51
145,53,33,60
146,58,42,82
147,38,40,54
148,37,38,63
149,55,33,60
150,53,35,74
151,53,46,90
152,53,44,54
153,43,32,54
154,52,41,73
155,53,46,68
156,43,27,82
157,69,44,67
158,55,35,56
159,38,45,67
160,57,34,73
161,40,26,70
162,58,27,66
163,62,40,73
164,42,42,74
165,60,33,77
166,54,45,68
167,58,27,58
168,69,39,62
169,48,30,74
170,42,35,50
171,41,40,64
172,42,33,55
173,49,37,60
174,53,48,75
175,53,35,62
176,58,47,61
177,50,31,44
178,65,44,69
179,47,52,68
180,77,20,86
181,56,34,56
182,41,45,63
183,39,38,63
184,55,43,79
185,48,35,59
186,57,41,63
187,55,39,67
188,49,49,62
189,42,42,55
190,35,43,62
191,46,37,73
192,59,36,48
193,52,37,62
194,38,43,52
195,52,37,74
196,54,42,42
197,41,57,53
198,52,47,65
199,51,37,79
200,39,50,59
201,54,37,53
202,56,24,83
203,61,32,43
204,61,25,34
205,36,37,65
206,41,40,54
207,55,53,48
208,55,43,69
209,55,38,63
210,89,47,53
211,56,22,45
212,61,42,70
213,60,46,68
214,57,28,59
215,47,49,82
216,58,43,47
217,42,37,42
218,48,45,52
219,45,58,59
220,51,41,63
221,73,42,57
222,31,36,64
223,57,33,45
224,34,47,77
225,45,33,59
226,61,41,73
227,51,36,64
228,39,44,65
229,43,43,67
230,57,48,65
231,43,36,68
232,52,38,76
233,50,32,62
234,43,36,69
235,71,43,59
236,56,46,77
237,30,33,52
238,52,47,82
239,43,51,60
240,59,43,43
241,42,55,62
242,49,34,52
243,55,30,70
244,59,26,52
245,38,52,55
246,47,45,37
247,45,40,55
248,43,42,31
249,68,31,41
250,54,60,69
251,37,41,69
252,59,41,65
253,71,46,48
254,60,44,59
255,35,42,60
256,45,34,46
257,63,44,78
258,43,55,71
259,54,51,57
260,58,53,60
261,41,36,63
262,49,32,35
263,18,39,57
264,40,40,52
265,47,49,48
266,38,26,57
267,66,52,82
268,36,39,68
269,46,37,53
270,51,32,67
271,64,27,77
272,36,47,71
273,62,41,61
274,50,30,52
275,40,30,68
276,55,37,65
277,52,53,71
278,44,38,68
279,51,28,73
