,Store_1_LT,Store_2_LT,Store_3_LT,DC_LT
0,2,3,4,3
1,2,6,3,2
2,5,5,4,2
3,3,4,3,2
4,3,6,4,1
5,4,5,3,3
6,2,4,2,2
7,5,5,3,1
8,3,3,2,2
9,5,3,2,2
10,5,3,4,2
11,4,5,3,2
12,4,6,4,1
13,4,4,2,2
14,5,6,2,2
15,2,3,3,3
16,5,6,3,1
17,5,6,2,3
18,4,4,2,2
19,5,6,2,3
20,5,4,4,1
21,3,4,4,2
22,3,4,2,3
23,5,3,3,3
24,4,3,4,2
25,5,6,2,1
26,4,5,3,2
27,5,4,3,1
28,3,3,3,2
29,2,5,2,2
30,2,5,3,1
31,2,3,3,2
32,3,6,4,2
33,2,6,2,1
34,2,6,3,3
35,2,4,3,1
36,5,3,2,2
37,2,4,2,2
38,4,3,4,1
39,2,3,2,3
40,2,3,4,1
41,3,6,2,1
42,4,3,2,1
43,2,6,4,2
44,2,5,4,3
45,2,4,2,3
46,2,5,3,3
47,2,6,2,2
48,3,3,3,2
49,5,6,4,1
50,3,3,2,1
51,2,4,2,3
52,5,3,2,3
53,2,4,4,3
54,3,6,4,2
55,2,3,2,1
56,5,6,2,2
57,4,4,2,3
58,3,3,4,1
59,5,4,4,2
60,3,5,2,3
61,3,3,3,2
62,2,5,4,3
63,4,3,2,1
64,4,6,3,1
65,4,3,3,1
66,3,5,4,2
67,3,5,2,1
68,3,3,2,3
69,2,3,4,2
70,4,6,2,2
71,5,4,4,3
72,4,3,4,3
73,5,5,2,1
74,5,5,3,1
75,3,3,4,3
76,5,6,2,1
77,4,5,2,1
78,5,4,4,3
79,4,6,3,2
80,4,5,3,1
81,4,3,2,3
82,2,4,2,3
83,4,4,2,2
84,5,3,4,2
85,5,6,2,3
86,5,3,3,2
87,4,5,2,2
88,2,3,3,2
89,5,6,4,3
90,4,6,2,1
91,3,4,4,3
92,2,6,4,2
93,5,5,3,1
94,2,6,3,3
95,3,6,3,2
96,4,4,3,1
97,5,6,3,3
98,3,4,2,1
99,5,5,3,3
